product_id,prophet_mae,feature_mae,test_size
PRD001,1.631968198994802,0.9379993405687779,30
PRD002,1.4980683054469695,1.83960025710415,30
PRD003,1.318834904455104,2.0143005382818076,30
PRD004,1.1497129297400137,2.078662734486846,30
PRD005,1.3553803997497955,1.5835691702473556,30
PRD006,1.8435522527503356,2.2211421146451187,30
PRD007,0.9417570531661913,0.9459836879900598,30
PRD008,1.3362572063855642,2.3938392643795874,30
PRD009,1.915432780091146,1.583159731794045,30
PRD010,1.4464294241408653,1.9377165745706815,30
PRD011,1.420722104808847,1.956238247863248,30
PRD012,1.7824340954443079,1.8393986874060484,30
PRD013,1.972340382450166,1.1515591946721104,30
PRD014,0.8165144972006846,0.7562255680049799,30
PRD015,1.5018605765419568,1.7870190754506932,30
PRD016,1.5138301746235105,1.812873941798942,30
PRD017,2.052317800569474,1.6392043492021395,30
PRD018,1.9589962096918445,2.621297999635993,30
PRD019,0.9445644722352697,0.9826282282282282,30
PRD020,1.375009933272325,2.7472621281739706,30
PRD021,1.6416975991229348,1.8229613663999473,30
PRD022,1.2822280590024713,1.8190607001693957,30
PRD023,1.3016312492449922,2.7737073812625286,30
PRD024,1.3074181368593984,2.0908866231234655,30
PRD025,1.9679680933923156,1.698600055530251,30
PRD026,1.1477654678240408,3.0567154201680666,30
PRD027,1.0110628507590447,0.9,30
PRD028,1.632443509167616,1.7050455430029174,30
PRD029,1.0867296517840495,1.5829578162578166,30
PRD030,1.0612556779132107,2.5042672901172898,30
PRD031,0.994822837435544,0.9199666666666667,30
PRD032,0.9132957433178388,0.685770202020202,30
PRD033,2.1187421440086265,2.26765062944417,30
PRD034,1.3132238511819176,1.835566206784097,30
PRD035,1.0114627818287438,2.016846200655503,30
PRD036,1.6888840178783622,0.990361754023563,30
PRD037,1.4124712160495225,1.8224200942819364,30
PRD038,1.5710246537593315,1.8698723412824418,30
PRD039,1.8402611194903742,1.4537386941868666,30
PRD040,1.3632850144383062,1.9525729527790088,30
PRD041,1.0342756224543312,2.3597927572173565,30
PRD042,1.9143178219270875,1.9637462688183276,30
PRD043,1.6267510431496395,1.552980092323151,30
PRD044,0.9580871736014825,1.0,30
PRD045,1.217289504646627,1.8308491673023137,30
PRD046,1.1670262381800258,2.1092558922558924,30
PRD047,1.8482698979447965,2.2032410894923187,30
PRD048,1.434761901260192,2.2862742557150453,30
PRD049,1.714184984532664,1.5072523753063143,30
PRD050,1.6962426826396133,0.6288462014235513,30
